job_id,workload,node_id,node_type,input_tokens,output_tokens,shared_prefix_token_len,private_prefix_token_len
debate_job_0,debate,debate_job_0_r0_proposer_0,llm_call,2048,16,1024,1024
debate_job_0,debate,debate_job_0_r0_proposer_1,llm_call,2048,16,1024,1024
debate_job_0,debate,debate_job_0_r0_proposer_2,llm_call,2048,16,1024,1024
debate_job_0,debate,debate_job_0_r0_proposer_3,llm_call,2048,16,1024,1024
debate_job_0,debate,debate_job_0_r0_critic_0,llm_call,2048,16,1088,960
debate_job_0,debate,debate_job_0_r0_critic_1,llm_call,2048,16,1088,960
debate_job_0,debate,debate_job_0_r0_critic_2,llm_call,2048,16,1088,960
debate_job_0,debate,debate_job_0_r0_critic_3,llm_call,2048,16,1088,960
debate_job_0,debate,debate_job_0_r0_judge,aggregate,2048,16,1280,768
debate_job_1,debate,debate_job_1_r0_proposer_0,llm_call,2048,16,1024,1024
debate_job_1,debate,debate_job_1_r0_proposer_1,llm_call,2048,16,1024,1024
debate_job_1,debate,debate_job_1_r0_proposer_2,llm_call,2048,16,1024,1024
debate_job_1,debate,debate_job_1_r0_proposer_3,llm_call,2048,16,1024,1024
debate_job_1,debate,debate_job_1_r0_critic_0,llm_call,2048,16,1088,960
debate_job_1,debate,debate_job_1_r0_critic_1,llm_call,2048,16,1088,960
debate_job_1,debate,debate_job_1_r0_critic_2,llm_call,2048,16,1088,960
debate_job_1,debate,debate_job_1_r0_critic_3,llm_call,2048,16,1088,960
debate_job_1,debate,debate_job_1_r0_judge,aggregate,2048,16,1280,768
debate_job_2,debate,debate_job_2_r0_proposer_0,llm_call,2048,16,1024,1024
debate_job_2,debate,debate_job_2_r0_proposer_1,llm_call,2048,16,1024,1024
debate_job_2,debate,debate_job_2_r0_proposer_2,llm_call,2048,16,1024,1024
debate_job_2,debate,debate_job_2_r0_proposer_3,llm_call,2048,16,1024,1024
debate_job_2,debate,debate_job_2_r0_critic_0,llm_call,2048,16,1088,960
debate_job_2,debate,debate_job_2_r0_critic_1,llm_call,2048,16,1088,960
