cohort_id,shared_kv_id,node_ids,planned_start_ms,max_wait_ms,shared_kv_region,expected_shared_kv_bytes_read,expected_private_kv_bytes_read,expected_query_transfer_bytes,expected_merge_bytes,cohort_size,baseline,event_driven,arrival_rate_jobs_per_s
event_cohort_0,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_0_r0_proposer_1,debate_job_0_r0_proposer_2,debate_job_0_r0_proposer_3,debate_job_1_r0_proposer_2,debate_job_1_r0_proposer_0,debate_job_2_r0_proposer_1,debate_job_1_r0_proposer_1,debate_job_1_r0_proposer_3,debate_job_2_r0_proposer_3,debate_job_2_r0_proposer_2,debate_job_2_r0_proposer_0",3.7342412800000004,2.0,r1c0,17179869184,1441792,360448,90112,11,pat_like,True,16.0
event_cohort_1,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_10_r0_proposer_1,debate_job_10_r0_proposer_2,debate_job_10_r0_proposer_3,debate_job_11_r0_proposer_1,debate_job_11_r0_proposer_0,debate_job_11_r0_proposer_3,debate_job_13_r0_proposer_1,debate_job_14_r0_proposer_2,debate_job_17_r0_proposer_0,debate_job_11_r0_proposer_2,debate_job_12_r0_proposer_3,debate_job_12_r0_proposer_0,debate_job_13_r0_proposer_2,debate_job_13_r0_proposer_3,debate_job_16_r0_proposer_1,debate_job_15_r0_proposer_2",3.7342412800000004,2.0,r1c0,17179869184,2097152,524288,131072,16,pat_like,True,16.0
event_cohort_2,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_12_r0_proposer_1,debate_job_12_r0_proposer_2,debate_job_13_r0_proposer_0,debate_job_15_r0_proposer_0,debate_job_14_r0_proposer_1,debate_job_14_r0_proposer_0,debate_job_16_r0_proposer_2,debate_job_15_r0_proposer_3,debate_job_16_r0_proposer_0,debate_job_15_r0_proposer_1,debate_job_14_r0_proposer_3,debate_job_17_r0_proposer_1,debate_job_18_r0_proposer_3,debate_job_19_r0_proposer_1,debate_job_16_r0_proposer_3,debate_job_19_r0_proposer_0",3.7342412800000004,2.0,r1c0,17179869184,2097152,524288,131072,16,pat_like,True,16.0
event_cohort_3,sha256:c9ae75070adf4480e75e3ce89087a7329723b6fe299ec24d04b46275e59c92aa,"debate_job_17_r0_proposer_2,debate_job_17_r0_proposer_3,debate_job_18_r0_proposer_0,debate_job_19_r0_proposer_2,debate_job_18_r0_proposer_2,debate_job_18_r0_proposer_1,debate_job_19_r0_proposer_3",3.7342412800000004,2.0,r1c0,17179869184,917504,229376,57344,7,pat_like,True,16.0
event_cohort_4,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_20_r0_proposer_1,debate_job_20_r0_proposer_2,debate_job_20_r0_proposer_3,debate_job_22_r0_proposer_1,debate_job_21_r0_proposer_2,debate_job_21_r0_proposer_0,debate_job_22_r0_proposer_3,debate_job_21_r0_proposer_3,debate_job_22_r0_proposer_0,debate_job_21_r0_proposer_1,debate_job_22_r0_proposer_2",3.7342412800000004,2.0,r1c0,17179869184,1441792,360448,90112,11,pat_like,True,16.0
event_cohort_5,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_23_r0_proposer_0,debate_job_23_r0_proposer_1,debate_job_24_r0_proposer_2,debate_job_23_r0_proposer_2,debate_job_25_r0_proposer_0,debate_job_26_r0_proposer_0,debate_job_24_r0_proposer_1,debate_job_23_r0_proposer_3,debate_job_26_r0_proposer_2,debate_job_25_r0_proposer_3,debate_job_27_r0_proposer_2,debate_job_27_r0_proposer_1,debate_job_24_r0_proposer_3,debate_job_29_r0_proposer_2,debate_job_24_r0_proposer_0,debate_job_28_r0_proposer_1",13.73424128,2.0,r1c0,17179869184,2097152,524288,131072,16,pat_like,True,16.0
event_cohort_6,sha256:1bf945a34e5780e4b08114ef9815ece70617d5f164919d5257e61771a1b5741c,"debate_job_25_r0_proposer_1,debate_job_25_r0_proposer_2,debate_job_26_r0_proposer_3,debate_job_26_r0_proposer_1,debate_job_28_r0_proposer_3,debate_job_28_r0_proposer_0,debate_job_27_r0_proposer_0,debate_job_29_r0_proposer_0,debate_job_28_r0_proposer_2,debate_job_27_r0_proposer_3,debate_job_29_r0_proposer_1,debate_job_29_r0_proposer_3",13.73424128,2.0,r1c0,17179869184,1572864,393216,98304,12,pat_like,True,16.0
event_cohort_7,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_30_r0_proposer_1,debate_job_30_r0_proposer_2,debate_job_30_r0_proposer_3,debate_job_31_r0_proposer_0,debate_job_31_r0_proposer_1,debate_job_32_r0_proposer_0,debate_job_32_r0_proposer_1,debate_job_34_r0_proposer_1,debate_job_31_r0_proposer_3,debate_job_31_r0_proposer_2,debate_job_33_r0_proposer_2,debate_job_33_r0_proposer_1,debate_job_32_r0_proposer_3,debate_job_33_r0_proposer_0,debate_job_35_r0_proposer_2,debate_job_36_r0_proposer_0",13.73424128,2.0,r1c0,17179869184,2097152,524288,131072,16,pat_like,True,16.0
event_cohort_8,sha256:2cdbca1506dbbaea86db8efae9b02d70acf80ad24a8792db0ff6fc9027e0d116,"debate_job_32_r0_proposer_2,debate_job_33_r0_proposer_3,debate_job_34_r0_proposer_0,debate_job_34_r0_proposer_3,debate_job_35_r0_proposer_0,debate_job_34_r0_proposer_2,debate_job_35_r0_proposer_3,debate_job_36_r0_proposer_2,debate_job_37_r0_proposer_3,debate_job_35_r0_proposer_1,debate_job_37_r0_proposer_1,debate_job_37_r0_proposer_0,debate_job_36_r0_proposer_3,debate_job_36_r0_proposer_1,debate_job_37_r0_proposer_2",13.73424128,2.0,r1c0,17179869184,1966080,491520,122880,15,pat_like,True,16.0
event_cohort_9,sha256:189cf4f6f9e04f1e4e11d36545c0a19aca2cbcb501f9dbcb9c4f9dc74210cfca,"debate_job_3_r0_proposer_0,debate_job_3_r0_proposer_1,debate_job_3_r0_proposer_2,debate_job_3_r0_proposer_3",13.73424128,2.0,r1c0,17179869184,524288,131072,32768,4,pat_like,True,16.0
